2081      3 19  22 34     6 20  15 16     9 22  07 38     12 21  05 22
2082      3 20  04 32     6 20  21 04     9 22  13 24     12 21  11 06
2083      3 20  10 08     6 21  02 41     9 22  19 10     12 21  16 51
2084      3 19  15 58     6 20  08 39     9 22  00 58     12 20  22 40
2085      3 19  21 53     6 20  14 33     9 22  06 43     12 21  04 29
2086      3 20  03 36     6 20  20 11     9 22  12 33     12 21  10 24
2087      3 20  09 27     6 21  02 05     9 22  18 27     12 21  16 07
2088      3 19  15 16     6 20  07 57     9 22  00 18     12 20  21 56
2089      3 19  21 07     6 20  13 43     9 22  06 07     12 21  03 53
2090      3 20  03 03     6 20  19 37     9 22  12 01     12 21  09 45

2091      3 20  08 40     6 21  01 17     9 22  17 49     12 21  15 37
2092      3 19  14 33     6 20  07 14     9 21  23 41     12 20  21 31
2093      3 19  20 35     6 20  13 08     9 22  05 30     12 21  03 21
2094      3 20  02 20     6 20  18 40     9 22  11 15     12 21  09 11
2095      3 20  08 14     6 21  00 38     9 22  17 10     12 21  15 00
2096      3 19  14 03     6 20  06 31     9 21  22 55     12 20  20 46
2097      3 19  19 49     6 20  12 14     9 22  04 37     12 21  02 38
2098      3 20  01 38     6 20  18 01     9 22  10 22     12 21  08 19
2099      3 20  07 17     6 20  23 41     9 22  16 10     12 21  14 04
2100      3 20  13 04     6 21  05 32     9 22  22 00     12 21  19 51
